e
GRT Plaster R1
GRT Smiley R1
SPL Ramen R1
SPL YinYg R1
EXT Lotus GOLD
GRT Hot R1
GRT Lolipop R1
GRT Onigiri R1
GRT Bomb R1
GRT Woh R1
GRT Robot R1
SPL Sushi
SPL Milk R1
GRT Electro R1
GRT Octopus R3
EXT YinYg RABW
GRT Fish R3
GRT Shrimp R1
GRT Sakura R1
SPL Gg R1
GRT Citrus R1
SPL Bamboo
SPL Boba R1
EXT Crane RABW
SPL Rainbow R1
SPL Meat R1
SPL Lufi R1
SPL Lotus R1
SPL Lishi
GRT Mic R1
SPL Nonla R1
GRT Gm R1
SPL Tea
SPL Chung C-R1
GRT Chill R1
GRT Pot R1
GRT Tomato R1
GRT Spoon R2
GRT Pineapp
GRT Lipstk R1
GRT Pear R1
GRT Cool R1
GRT Melon
SPL Sycee R1
GRT Ham
GRT Baguett
GRT Banana R1
GRT Gas R1
GRT Mint R1
EXT Gm GOLD
SPL Fried R-R1
GRT Wow R1
SPL Hotpot
SPL Crane R1
EXT Ramen SILV
EXT Robot GOLD
EXT Chung C-SILV
EXT Pot SILV
EXT Boba SILV
EXT Hot GOLD
EXT Fish SILV
EXT Shrimp SILV
EXT Sakura SILV
EXT Gg SILV
SPL Plaster R2
GRT Smiley R2
GRT Lolipop R3
SPL Onigiri R2
EXT Bomb R2
EXT Milk R2
EXT Electro R2
SPL Octopus R2
SPL Fish R1
GRT Citrus R2
GRT Smiley R3
SPL Meat R2
SPL Lufi R2
SPL Lotus R2
GRT Mic R2
SPL Nonla R2
SPL Chill R2
SPL Tomato R2
GRT Spoon R1
GRT Lipstk R2
GRT Pear R2
SPL Cool R2
SPL Mic R3
SPL Sycee R2
SPL Banana R2
GRT Gas R2
SPL Mint R2
SPL Fried R-R2
EXT Wow R2
SPL Fish R2
EXT Woh R2
SPL Rainbow R2
SPL Octopus R1
SPL Lolipop R2
SPL Robot R2
extra
