1,A1,B1,C0,D1,E1,F1,G1,K1,S0,X2
2,A2,B2,C0,D2,E2,F2,G2,K2,S6,X0
3,A3,B3,C0,D3,E3,F3,G3,K3,S0,X0
4,A4,B4,C0,D4,E4,F4,G4,K4,S0,X1
5,A5,B5,C0,D5,E5,F5,G5,K5,S0,X1
6,A6,B6,C0,D6,E6,F6,G6,K6,S0,X0
7,A7,B7,C0,D0,E7,F7,G7,K7,S0,X0
8,A8,B8,C0,D8,E8,F8,G8,K8,S0,X1
9,A9,B9,C0,D0,E9,F9,G9,K9,S0,X0
10,A10,B10,C0,D10,E10,F10,G10,K10,S0,X0
11,A11,B11,C11,D0,E11,F11,G11,K11,S0,X0
12,A12,B12,C0,D12,E12,F12,G12,K12,S0,X0
13,A13,B13,C13,D13,E13,F13,G13,K13,S0,X0
14,A14,B14,C0,D0,E14,F14,G14,K14,S0,X0
15,A15,B15,C15,D15,E15,F15,G15,K15,S0,X2
16,A16,B16,C16,D16,E16,F16,G16,K16,S0,X2
17,A17,B17,C17,D17,E17,F17,G17,K17,S0,X0
18,A18,B18,C18,D18,E18,F18,G18,K18,S2,X0
19,A19,B19,C0,D0,E19,F19,G19,K19,S0,X0
20,A20,B20,C0,D0,E20,F20,G20,K20,S0,X0
21,A21,B21,C0,D21,E21,F21,G21,K21,S8,X3
22,A22,B22,C0,D0,E22,F22,G22,K22,S0,X0
23,A23,B23,C0,D23,E23,F23,G23,K23,S0,X3
24,A24,B24,C24,D0,E24,F24,G24,K24,S13,X1
25,A25,B25,C0,D25,E25,F25,G25,K25,S0,X0
26,A26,B26,C0,D26,E26,F26,G26,K26,S0,X0
27,A27,B27,C27,D27,E27,F27,G27,K27,S0,X0
28,A28,B28,C0,D28,E28,F28,G28,K28,S11,X1
29,A29,B29,C29,D29,E29,F29,G29,K29,S0,X1
30,A30,B30,C0,D30,E30,F30,G30,K30,S0,X1
31,A31,B31,C0,D31,E31,F31,G31,K31,S0,X1
32,A32,B32,C32,D32,E32,F32,G32,K32,S0,X1
33,A33,B33,C0,D33,E33,F33,G33,K33,S0,X0
34,A34,B34,C0,D34,E34,F34,G34,K34,S0,X1
35,A35,B35,C35,D35,E35,F35,G35,K35,S0,X0
36,A36,B36,C0,D36,E36,F36,G36,K76,S0,X1
37,A37,B37,C0,D37,E37,F37,G37,K37,S0,X0
38,A38,B38,C38,D38,E38,F38,G38,K38,S0,X2
39,A39,B39,C0,D39,E39,F39,G39,K39,S0,X2
40,A40,B40,C0,D40,E40,F40,G40,K40,S0,X3
41,A41,B41,C0,D41,E41,F41,G41,K41,S0,X2
42,A42,B42,C0,D42,E42,F42,G42,K42,S0,X2
43,A43,B43,C0,D43,E43,F43,G43,K43,S5,X1
44,A44,B44,C0,D44,E44,F44,G44,K44,S0,X2
45,A45,B45,C45,D45,E45,F45,G45,K45,S0,X0
46,A46,B46,C0,D46,E46,F46,G46,K46,S0,X1
47,A47,B47,C47,D47,E47,F47,G47,K47,S0,X0
48,A48,B48,C0,D48,E48,F48,G48,K48,S3,X2
49,A49,B49,C49,D49,E49,F49,G49,K49,S0,X1
50,A50,B50,C50,D50,E50,F50,G50,K50,S0,X2
51,A51,B51,C0,D0,E51,F51,G51,K51,S0,X0
52,A52,B52,C52,D52,E52,F52,G52,K52,S12,X0
53,A53,B53,C0,D53,E53,F53,G53,K53,S0,X0
54,A54,B54,C54,D54,E54,F54,G54,K54,S0,X0
55,A55,B55,C55,D55,E55,F55,G86,K86,S0,X0
56,A56,B56,C56,D56,E56,F56,G56,K56,S0,X3
57,A57,B57,C57,D57,E57,F57,G57,K57,S0,X3
58,A58,B58,C58,D58,E58,F58,G58,K58,S0,X4
59,A59,B59,C59,D59,E59,F59,G59,K59,S10,X3
60,A60,B60,C60,D60,E60,F60,G60,K60,S9,X4
61,A61,B61,C61,D61,E61,F61,G61,K61,S1,X5
62,A62,B62,C62,D62,E62,F62,G62,K62,S0,X4
63,A63,B63,C63,D63,E63,F63,G63,K63,S0,X3
64,A64,B64,C64,D64,E64,F64,G64,K64,S0,X3
65,A65,B65,C65,D65,E65,F65,G65,K65,S4,X0
66,A66,B66,C66,D66,E66,F66,G66,K66,S0,X2
67,A67,B67,C67,D67,E67,F67,G67,K67,S0,X1
68,A68,B68,C68,D68,E68,F68,G68,K68,S0,X2
69,A69,B69,C69,D69,E69,F69,G69,K69,S0,X2
70,A80,B70,C70,D70,E70,F70,G70,K70,S0,X3
71,A71,B71,C71,D71,E71,F71,G71,K71,S0,X2
72,A72,B72,C72,D72,E72,F72,G72,K72,S0,X1
73,A73,B73,C73,D73,E73,F73,G73,K73,S0,X1
74,A74,B74,C74,D74,E74,F74,G74,K74,S0,X0
75,A75,B75,C75,D75,E75,F75,G75,K74,S0,X2
76,A76,B76,C76,D76,E76,F76,G76,K76,S0,X0
77,A77,B77,C77,D77,E77,F77,G77,K35,S0,X1
78,A78,B78,C78,D78,E78,F78,G78,K78,S0,X3
79,A79,B79,C79,D79,E79,F79,G79,K79,S0,X0
80,A80,B80,C80,D80,E80,F80,G80,K80,S0,X1
81,A81,B81,C81,D81,E81,F81,G81,K81,S0,X2
82,A82,B82,C82,D82,E82,F82,G82,K82,S0,X1
83,A83,B83,C83,D83,E83,F83,G83,K83,S0,X1
84,A84,B84,C84,D84,E84,F84,G84,K84,S0,X1
85,A85,B85,C85,D85,E85,F85,G85,K85,S0,X0
86,A86,B86,C86,D86,E86,F86,G55,K55,S0,X5
87,A87,B87,C87,D87,E87,F87,G87,K87,S0,X3
88,A88,B88,C88,D88,E88,F88,G88,K88,S0,X2
89,A89,B89,C89,D89,E89,F89,G89,K89,S0,X1
90,A90,B90,C90,D90,E90,F90,G90,K90,S0,X6
91,A91,B91,C91,D91,E91,F91,G91,K91,S0,X1
92,A92,B92,C92,D92,E92,F92,G64,K64,S0,X6
93,A93,B93,C93,D93,E93,F93,G93,K93,S0,X5
94,A94,B94,C94,D94,E94,F94,G94,K94,S0,X2
95,A95,B95,C95,D95,E95,F95,G95,K95,S0,X4
96,A96,B96,C96,D96,E96,F96,G96,K96,S0,X2
97,A97,B97,C97,D97,E97,F97,G97,K97,S0,X3
98,A98,B98,C98,D98,E98,F98,G98,K98,S7,X2
99,A99,B99,C99,D99,E99,F99,G99,K99,S0,X5
100,A91,B99,C90,D90,E39,F99,G1,K24,S0,X8
101,A97,B92,C66,D97,E48,F78,G56,K50,S0,X7
102,A99,B87,C72,D95,E97,F94,G16,K16,S0,X8
103,A98,B93,C93,D99,E44,F92,G49,K5,S7,X9
104,A81,B78,C84,D68,E90,F93,G50,K37,S0,X6
105,A96,B58,C64,D87,E92,F88,G32,K60,S0,X8
106,A95,B56,C85,D28,E87,F86,G55,K56,S0,X7
107,A66,B70,C86,D62,E83,F39,G67,K95,S0,X7
108,A92,B75,C78,D82,E88,F89,G92,K92,S0,X6
109,A61,B59,C60,D86,E70,F67,G62,K62,S1,X9
110,A58,B7,C0,D29,E61,F44,G98,K37,S0,X1
111,A11,B73,C0,D0,E89,F25,G44,K44,S0,X0
112,A30,B39,C79,D0,E30,F74,G3,K90,S0,X0
113,A38,B4,C0,D6,E13,F25,G94,K46,S0,X0
114,A87,B16,C98,D26,E63,F75,G44,K45,S0,X0
115,A22,B96,C24,D16,E30,F55,G23,K36,S0,X0
116,A75,B30,C96,D0,E89,F12,G22,K40,S0,X0
117,A31,B51,C59,D54,E50,F11,G74,K52,S0,X0
118,A43,B42,C65,D21,E67,F13,G54,K6,S5,X0
119,A12,B36,C13,D67,E3,F42,G77,K17,S0,X0
